combination,word_count,frequency
pha să n,3,42
să n nutifood,3,42
n nutifood grow,3,42
grow plus vani,3,42
plus vani sữa,3,42
q hương,2,42
adp m,2,42
dưỡng similac eye,3,42
toàn thân không,3,42
johnson s baby,3,42
cay mắt johnson,3,42
không cay mắt,3,42
thân không cay,3,42
sư a,2,42
a dinh,2,42
lớn sunmate adp,3,42
dưỡng hương vani,3,42
dinh dưỡng hương,3,42
sunmate adp m,3,42
dinh dươ,2,42
plus vani,2,42
dươ ng,2,42
ng pha,2,42
să n,2,42
pha să,2,42
n nutifood,2,42
adp m l,3,42
mắt johnson s,3,42
sôcôla lúa mạch,3,41
lúa mạch,2,41
lúa mạch susu,3,41
sữa sôcôla lúa,3,41
grow hương,2,41
nutifood nutri,2,41
mạch susu,2,41
sôcôla lúa,2,41
nguyên kem,2,41
abbott grow hương,3,41
nutri nguyên kem,3,41
nutifood nutri nguyên,3,41
grow hương vani,3,41
bột nutifood nutri,3,41
nutri nguyên,2,41
sữa sôcôla,2,41
tã quần người,3,40
quần người,2,40
sunmate l,2,40
lớn sunmate l,3,40
quần người lớn,3,40
bột hương,2,40
vani abbott,2,40
grow power,2,40
gội em hằng,3,40
hằng ngày,2,40
power tuổi,2,40
ngày milky lactacyd,3,40
em hằng ngày,3,40
em hằng,2,40
ngày milky,2,40
milky lactacyd,2,40
hằng ngày milky,3,40
grow power tuổi,3,40
vani abbott grow,3,40
hương vani abbott,3,40
bột hương vani,3,40
sữa bột hương,3,40
growplus ít đường,3,40
abbott grow power,3,40
ít đường,2,40
growplus ít,2,40
kem sữa,2,39
junior hương chery,3,39
nguyên kem sữa,3,39
kids lông,2,39
hương nho,2,39
hương chery sữa,3,39
junior tinh chất,3,39
junior tinh,2,39
mềm giao màu,3,39
carrie junior tinh,3,39
junior hương nho,3,39
hương chery,2,39
chery sữa,2,39
bé tuổi lipzo,3,39
tuổi lipzo kids,3,39
lipzo kids lông,3,39
kids lông mềm,3,39
lông mềm giao,3,39
xxl tã,2,39
lipzo kids,2,39
lông mềm,2,39
mềm giao,2,39
tuổi lipzo,2,39
dinh dưỡng pha,3,38
đánh răng jordan,3,38
tuổi giao màu,3,38
cho tuổi giao,3,38
step cho tuổi,3,38
jordan step cho,3,38
răng jordan step,3,38
aquafresh big teeth,3,38
sunmate m,2,38
em aquafresh big,3,38
răng em aquafresh,3,38
protection pro complete,3,38
expert protection pro,3,38
s expert protection,3,38
em aquafresh,2,38
big teeth,2,38
aquafresh big,2,38
súc miệng s,3,38
răng jordan,2,38
quần bobby xxl,3,38
cho tuổi,2,38
step cho,2,38
jordan step,2,38
bobby xxl,2,38
yoko gold mll,3,38
vinamilk yoko gold,3,38
sẵn vinamilk yoko,3,38
pha sẵn vinamilk,3,38
dưỡng pha sẵn,3,38
lớn sunmate m,3,38
miệng s expert,3,38
tuổi giao,2,38
nước súc,2,38
sẵn vinamilk,2,38
expert protection,2,38
s expert,2,38
pro complete,2,38
gold mll,2,38
yoko gold,2,38
vinamilk yoko,2,38
miệng s,2,38
protection pro,2,38
dưỡng pha,2,38
nước súc miệng,3,38
súc miệng,2,38
chuối sữa,2,37
lót under,2,37
nutifood nuvi,2,37
nuvi grow,2,37
màu xanh,2,37
nho sữa,2,37
soft màu,2,37
kid soft,2,37
royal kid,2,37
clean royal,2,37
hương nho sữa,3,37
nutifood nuvi grow,3,37
bột nutifood nuvi,3,37
sữa nước,2,37
bobby xl tã,3,37
quần bobby xl,3,37
răng em lipzo,3,37
nước abbott,2,37
abbott pediasure,2,37
pediasure ba,2,37
em lipzo,2,37
lipzo vị,2,37
vị chuối,2,37
ba hương,2,37
pad bàn,2,37
under pad,2,37
pad bàn chải,3,37
vị chuối sữa,3,37
under pad bàn,3,37
lót under pad,3,37
soft màu xanh,3,37
kid soft màu,3,37
royal kid soft,3,37
clean royal kid,3,37
chuối sữa dinh,3,37
oral clean royal,3,37
lipzo vị chuối,3,37
sữa nước abbott,3,37
bobby xl,2,37
nước abbott pediasure,3,37
em lipzo vị,3,37
abbott pediasure ba,3,37
pediasure ba hương,3,37
ba hương vani,3,37
chải siêu mềm,3,36
lactacyd milky sữa,3,36
em lactacyd milky,3,36
gội em lactacyd,3,36
mềm sữa tắm,3,36
siêu mềm sữa,3,36
s lông chải,3,36
lông chải siêu,3,36
em lactacyd,2,36
tuổi s lông,3,36
bé tuổi s,3,36
mềm sữa,2,36
chải siêu,2,36
lactacyd milky,2,36
lông chải,2,36
kem sữa bột,3,36
tuổi s,2,36
milky sữa,2,36
răng s em,3,35
mịn như bông,3,35
em hương dâu,3,35
mềm mịn như,3,35
s mềm mịn,3,35
em tuổi cao,3,35
johnson s mềm,3,35
thân johnson s,3,35
s em tuổi,3,35
quần unidry xl,3,35
tuổi cao cấp,3,35
quần unidry m,3,35
unidry m tã,3,35
quần unidry l,3,35
unidry l tã,3,35
và trái cây,3,35
quần unidry xxl,3,35
pro complete bàn,3,35
complete bàn chải,3,35
toàn thân johnson,3,35
miê ng,2,35
dâu và trái,3,35
su c,2,35
listerine tre em,3,35
ng listerine tre,3,35
miê ng listerine,3,35
su c miê,3,35
c su c,3,35
nươ c su,3,35
nươ c,2,35
c su,2,35
răng s lông,3,35
s lông tơ,3,35
lông tơ mềm,3,35
c miê,2,35
hương dâu và,3,35
tre em hương,3,35
tơ mềm mại,3,35
ng listerine,2,35
listerine tre,2,35
tre em,2,35
em hương,2,35
mềm mại kem,3,35
mại kem đánh,3,35
s hương cam,3,35
hương cam tuổi,3,35
s hương dâu,3,35
c miê ng,3,35
cao cấp,2,35
s mềm,2,35
unidry xl,2,35
mềm mại,2,35
mại kem,2,35
hương cam,2,35
unidry m,2,35
cam tuổi,2,35
dâu và,2,35
và trái,2,35
tuổi cao,2,35
trái cây,2,35
thân johnson,2,35
lông tơ,2,35
unidry l,2,35
unidry xxl,2,35
em tuổi,2,35
s em,2,35
mềm mịn,2,35
mịn như,2,35
như bông,2,35
complete bàn,2,35
tơ mềm,2,35
màu xanh lót,3,34
spdddps growplus ít,3,34
spdddps growplus,2,34
xanh lót under,3,34
tuổi sữa,2,34
xanh lót,2,34
big teeth bàn,3,33
teeth bàn,2,33
teeth bàn chải,3,33
power tuổi sữa,3,32
bông kem,2,32
bông kem đánh,3,32
như bông kem,3,32
colgate ultra soft,3,31
ultra soft siêu,3,31
unidry xl tã,3,31
soft siêu mềm,3,31
cấp tã quần,3,31
tom jerry tutti,3,31
barbie spiderman,2,31
cấp tã,2,31
siêu mềm barbie,3,31
tuổi kem đánh,3,31
cao cấp tã,3,31
pediasure vani,2,31
clean tom,2,31
em colgate ultra,3,31
jerry tutti frutti,3,31
mềm barbie spiderman,3,31
dưỡng pediasure,2,31
tuổi kem,2,31
mềm barbie,2,31
clean tom jerry,3,31
pediasure vani sữa,3,31
dưỡng pediasure vani,3,31
soft siêu,2,31
dinh dưỡng pediasure,3,31
tutti frutti,2,31
jerry tutti,2,31
tom jerry,2,31
ultra soft,2,31
oral clean tom,3,31
colgate ultra,2,31
nho sữa tắm,3,31
grow sữa bột,3,30
grow sữa,2,30
nhiên nước,2,30
nuvi grow sữa,3,30
spiderman bàn,2,30
barbie spiderman bàn,3,30
dâu kem đánh,3,30
hương dâu kem,3,30
ngẫu nhiên nước,3,30
plus x sữa,3,30
dâu kem,2,30
nhiên nước súc,3,30
spiderman bàn chải,3,30
huggies dry l,3,29
dry l tã,3,29
chery sữa tắm,3,29
dry l,2,29
bobby fresh newborn,3,28
sinh bobby fresh,3,28
sơ sinh bobby,3,28
fresh newborn,2,28
sinh bobby,2,28
sơ sinh,2,28
lót sơ,2,28
lót sơ sinh,3,28
bobby fresh,2,28
frutti bàn chải,3,27
tutti frutti bàn,3,27
frutti bàn,2,27
mll sữa sôcôla,3,26
nhiên sữa,2,26
mll sữa,2,26
ngẫu nhiên sữa,3,26
xxl tã quần,3,26
unidry xxl tã,3,26
gold mll sữa,3,26
m l bàn,3,25
l bàn chải,3,25
xxl sữa,2,25
xxl sữa bột,3,25
bobby xxl sữa,3,25
l bàn,2,25
nhiên sữa tắm,3,25
cam tuổi kem,3,24
chất sữa sữa,3,24
sữa sữa,2,24
lactacyd tã,2,24
newborn sữa tắm,3,24
lactacyd tã quần,3,24
milky lactacyd tã,3,24
newborn sữa,2,24
ít đường sữa,3,23
đường sữa,2,23
l dép lê,3,22
l dép,2,22
milky sữa nước,3,22
growplus trên tuổi,3,21
em colgate minions,3,21
nutifood growplus trên,3,21
bột nutifood growplus,3,21
colgate minions,2,21
sunmate l dép,3,21
nutifood growplus,2,21
growplus trên,2,21
trên tuổi,2,21
x spdddps,2,21
x spdddps growplus,3,21
vani bàn chải,3,20
hương vani bàn,3,20
sunmate m nươ,3,20
m nươ c,3,20
m nươ,2,20
vani bàn,2,20
dry pants big,3,19
hương vani pediasure,3,19
dry pants,2,19
h size sữa,3,19
jumbo l,2,19
huggies dry pants,3,19
pants big jumbo,3,19
big jumbo l,3,19
vani pediasure tpdd,3,19
big jumbo,2,19
size sữa,2,19
vani pediasure,2,19
pants big,2,19
mạch susu tã,3,18
fresh newborn sữa,3,18
tuổi tã,2,18
susu tã,2,18
trên tuổi tã,3,18
susu tã dán,3,18
ít đường pediasure,3,17
l sữa,2,17
vani sữa tắm,3,17
đường pediasure tpdd,3,17
đường pediasure,2,17
tuổi sữa tắm,3,17
cây lót sơ,3,17
tuổi tã dán,3,17
trái cây lót,3,17
cây lót,2,17
sữa và gạo,3,16
và gạo johnson,3,16
chất sữa và,3,16
gạo johnson johnson,3,16
sữa tắm tinh,3,16
tắm tinh chất,3,16
tắm tinh,2,16
sữa và,2,16
và gạo,2,16
gạo johnson,2,16
johnson johnson,2,16
sữa bàn chải,3,15
susu sữa,2,15
size sữa tắm,3,15
baby sữa tắm,3,15
chất sữa bàn,3,15
sữa bàn,2,15
s baby sữa,3,15
baby sữa,2,15
susu sữa tắm,3,15
mạch susu sữa,3,15
đường sữa sôcôla,3,14
h size sư,3,14
size sư a,3,14
baby kem đánh,3,14
baby kem,2,14
milky sữa tắm,3,14
s baby kem,3,14
size sư,2,14
nhiên tã quần,3,13
lactacyd sư,2,13
ngẫu nhiên tã,3,13
sunmate l sữa,3,13
nhiên tã,2,13
jumbo l nươ,3,13
milky lactacyd sư,3,13
l nươ c,3,13
l nươ,2,13
xxl tã dán,3,13
plus x spdddps,3,13
bobby xxl tã,3,13
m l tã,3,13
vani spdddps growplus,3,13
hương vani spdddps,3,13
vani spdddps,2,13
lactacyd sư a,3,13
johnson kem,2,12
tuổi sữa dinh,3,12
cây kem đánh,3,12
x sữa tắm,3,12
johnson johnson kem,3,12
trái cây kem,3,12
cây kem,2,12
johnson kem đánh,3,12
s baby tã,3,11
sữa sữa tắm,3,11
sữa sữa dinh,3,11
mll tã,2,11
bobby lót newborn,3,11
baby tã dán,3,11
minions kem đánh,3,11
minions kem,2,11
lót newborn,2,11
gold mll tã,3,11
bobby lót,2,11
baby tã,2,11
colgate minions kem,3,11
mll tã dán,3,11
sunmate m tã,3,11
l sữa dinh,3,10
unidry xxl dép,3,9
xxl dép,2,9
xxl dép lê,3,9
h size tã,3,8
size tã,2,8
vani sư,2,8
susu bàn chải,3,8
chery sữa nước,3,8
mạch susu bàn,3,8
tuổi lót,2,8
susu bàn,2,8
cam tuổi lót,3,8
x sữa bột,3,8
hương vani sư,3,8
nutifood x spdddps,3,8
tuổi lót sơ,3,8
newborn bobby,2,8
fresh newborn bobby,3,8
vani sư a,3,8
newborn bobby lót,3,8
nutifood x sư,3,7
sunmate m kem,3,7
x sư a,3,7
m kem đánh,3,7
nhiên bàn chải,3,7
grow tã dán,3,7
size tã quần,3,7
grow tã,2,7
ngẫu nhiên bàn,3,7
nuvi grow tã,3,7
x sư,2,7
m kem,2,7
nhiên bàn,2,7
power tuổi kem,3,7
l sữa tắm,3,6
sữa growplus ít,3,6
lót newborn sữa,3,6
x sữa growplus,3,6
sữa growplus,2,6
colgate minions sữa,3,5
big teeth nước,3,5
colgate minions bàn,3,5
sunmate l tã,3,5
teeth nước súc,3,5
tuổi sữa bột,3,5
minions bàn chải,3,5
minions sữa tắm,3,5
minions bàn,2,5
đường sữa dinh,3,5
dâu sữa tắm,3,5
hương dâu sữa,3,5
teeth nước,2,5
dâu sữa,2,5
minions sữa,2,5
trái cây sữa,3,4
tutti frutti tã,3,4
jumbo l sữa,3,4
cây sữa tắm,3,4
nho sữa nước,3,4
newborn kem,2,4
cao cấp kem,3,4
cấp kem,2,4
cấp kem đánh,3,4
frutti tã,2,4
newborn kem đánh,3,4
frutti tã quần,3,4
xl dép,2,4
size sữa bột,3,4
xl dép lê,3,4
cây sữa,2,4
unidry xl dép,3,4
l lót,2,3
pro complete kem,3,3
đường sữa bột,3,3
trên tuổi pediasure,3,3
tuổi pediasure tpdd,3,3
kem sữa tắm,3,3
complete kem đánh,3,3
newborn lót,2,3
x pediasure tpdd,3,3
m l lót,3,3
tuổi pediasure,2,3
x pediasure,2,3
bông bàn,2,3
lót newborn lót,3,3
newborn lót sơ,3,3
nutifood x pediasure,3,3
l lót under,3,3
complete kem,2,3
bông bàn chải,3,3
như bông bàn,3,3
jumbo l tã,3,2
lactacyd sữa bột,3,2
hương nho bàn,3,2
nho bàn chải,3,2
milky lactacyd sữa,3,2
cây bobby,2,2
lactacyd sữa,2,2
nho sữa dinh,3,2
l tã dán,3,2
size nươ,2,2
cam tuổi sữa,3,2
xanh bàn chải,3,2
chery sữa dinh,3,2
fresh newborn kem,3,2
h size nươ,3,2
cây bobby lót,3,2
trái cây bobby,3,2
sữa sữa nước,3,2
xanh bàn,2,2
size nươ c,3,2
lót newborn kem,3,2
johnson nước,2,2
johnson nước súc,3,2
nho bàn,2,2
johnson johnson nước,3,2
màu xanh bàn,3,2
s baby dép,3,1
baby dép lê,3,1
cam tuổi bobby,3,1
nguyên kem kem,3,1
kem kem đánh,3,1
hương vani dép,3,1
nhiên sữa dinh,3,1
vani dép lê,3,1
ngẫu nhiên kem,3,1
johnson bàn chải,3,1
johnson johnson bàn,3,1
spiderman dép lê,3,1
barbie spiderman dép,3,1
l sữa nước,3,1
lactacyd dép lê,3,1
milky lactacyd dép,3,1
tuổi tã quần,3,1
nhiên kem đánh,3,1
tuổi dép lê,3,1
mll bàn,2,1
spiderman dép,2,1
x tã quần,3,1
power tuổi dép,3,1
vani sữa sôcôla,3,1
xanh dép lê,3,1
màu xanh dép,3,1
s baby nước,3,1
baby nước súc,3,1
nguyên kem dép,3,1
kem dép lê,3,1
baby nước,2,1
tuổi bobby,2,1
baby dép,2,1
nhiên kem,2,1
johnson bàn,2,1
lactacyd dép,2,1
m l dép,3,1
xanh dép,2,1
vani dép,2,1
tuổi dép,2,1
x tã,2,1
kem kem,2,1
johnson sữa,2,1
nutifood x tã,3,1
size tã dán,3,1
gold mll bàn,3,1
mll bàn chải,3,1
đường sữa tắm,3,1
johnson johnson sữa,3,1
johnson sữa tắm,3,1
kem dép,2,1
tuổi bobby lót,3,1
